size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
150195200,4.99,8932,55,8.0,5.0,0,2,37,0,12,1
199734272,0.0,495626,5893,6.0,4.5,0,4,37,0,33,1
13156352,0.99,812,14,5.0,4.0,0,4,38,0,7,1
30367744,2.99,1583,2,6.0,4.5,2,4,37,5,1,1
93420544,0.0,113936,150,8.0,5.0,0,4,37,1,6,1
31505408,4.99,2027,2,7.0,5.0,0,1,37,5,33,1
25997312,3.99,768,4,7.0,4.0,0,2,37,3,3,1
182054912,0.0,373835,402,7.0,4.5,0,4,37,3,1,1
138754048,0.0,108131,13,5.0,2.0,0,4,37,0,1,1
13564835,0.99,18943,1787,6.0,4.5,0,0,47,0,1,1
133688320,0.0,126312,22,6.0,3.0,0,4,37,5,8,1
55205888,4.99,35735,378,7.0,4.5,0,0,40,0,0,1
46922752,4.99,410,7,5.0,2.5,0,4,37,5,1,1
63283200,12.99,1390,143,8.0,5.0,0,4,37,5,33,1
53426176,0.0,38,2,6.0,5.0,0,4,37,5,4,1
39505920,0.0,233270,14625,8.0,4.5,0,4,37,0,2,1
210088960,21.99,64,0,8.0,0.0,0,4,37,5,2,1
36399104,0.0,109349,1540,6.0,5.0,2,4,37,5,1,1
115143680,0.0,2229,4,6.0,1.0,3,4,37,0,1,1
56481792,1.99,14970,24,6.0,4.5,0,4,37,0,1,1
181941248,0.0,144214,2162,6.0,4.0,0,4,37,1,43,1
162891776,0.0,232940,683,7.0,4.5,0,4,37,5,1,1
98108416,0.0,48407,20,5.0,3.5,2,4,37,0,1,0
54088704,0.99,5531,37,6.0,2.5,0,4,40,3,13,1
50155520,1.99,3393,77,7.0,4.0,0,2,43,5,1,1
23936000,0.0,65016,274,6.0,5.0,0,4,38,4,17,1
145293312,0.99,187529,1071,7.0,4.0,1,1,43,5,1,1
140367872,0.0,33969,466,6.0,5.0,0,4,37,0,17,1
281244672,0.0,48822,193,6.0,4.0,0,4,37,0,1,1
66695168,1.99,59155,101,8.0,2.5,0,0,40,5,1,1
169747456,0.0,252076,80,6.0,4.5,0,4,37,5,9,1
41691136,1.99,4913,1,7.0,4.0,1,0,37,3,15,1
